#  Butte County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,58.9
200002,59.1
200003,59.5
200004,59.8
200005,59.9
200006,60.3
200007,60.3
200008,60.4
200009,60.2
200010,59.8
200011,59.2
200012,59.2
200101,59.1
200102,58.9
200103,59.1
200104,58.7
200105,59.3
200106,59.2
200107,59.4
200108,59.4
200109,59.6
200110,60.1
200111,60.6
200112,60.4
200201,60.3
200202,60.7
200203,60.3
200204,60.6
200205,59.9
200206,60
200207,60.2
200208,60.1
200209,60
200210,59.7
200211,59.9
200212,60
200301,60.5
200302,60.4
200303,60.6
200304,60.1
200305,60
200306,60
200307,60.2
200308,60.2
200309,60.3
200310,60.7
200311,60.2
200312,60.1
200401,59.6
200402,59.5
200403,60
200404,60.8
200405,60.9
200406,60.8
200407,60.6
200408,60.7
200409,60.5
200410,59.9
200411,60.1
200412,60.2
200501,60.3
200502,60.6
200503,60.2
200504,59.7
200505,59.5
200506,58.9
200507,59.2
200508,59.4
200509,59.1
200510,59.2
200511,59.5
200512,59.5
200601,59.7
200602,59.6
200603,58.8
200604,58.9
200605,59.2
200606,60
200607,60
200608,59.8
200609,60
200610,60
200611,59.8
200612,59.6
200701,59.5
200702,59.4
200703,60.4
200704,60.6
200705,60.6
200706,60.3
200707,60
200708,60.1
200709,59.8
200710,59.7
200711,60
200712,59.9
200801,59.7
200802,59.6
200803,59.2
200804,59.1
200805,59.1
200806,59.1
200807,59.2
200808,59.3
200809,59.7
200810,60.1
200811,60.1
200812,60
200901,60.5
200902,60.5
200903,60.5
200904,60.6
200905,60.7
200906,60.5
200907,60.5
200908,60.4
200909,60.5
200910,60.1
200911,59.9
200912,59.9
201001,59.7
201002,59.9
201003,59.8
201004,59.4
201005,58.6
201006,58.6
201007,58.6
201008,58.4
201009,58.2
201010,58.4
201011,58.3
201012,58.6
201101,58.6
201102,58.3
201103,58.1
201104,58.4
201105,58.4
201106,58.1
201107,57.9
201108,58
201109,58.3
201110,58.3
201111,58.2
201112,58.2
201201,58.3
201202,58.5
201203,58.5
201204,58.6
201205,59.2
201206,59.4
201207,59.5
201208,59.7
201209,59.7
201210,59.8
201211,60.1
201212,59.8
201301,59.6
201302,59.6
201303,60.1
201304,60.5
201305,60.5
201306,60.8
201307,61.1
201308,60.8
201309,60.3
201310,60.1
201311,60.3
201312,60.4
201401,61.2
201402,61.3
201403,61.3
201404,61.3
201405,61.4
201406,61.4
201407,61.5
201408,61.6
201409,62
201410,62.4
201411,62.3
201412,62.4
201501,62.2
201502,62.6
201503,62.9
201504,62.9
201505,62.6
201506,62.9
201507,62.7
201508,62.7
201509,62.6
201510,62.8
201511,62.4
201512,62
201601,61.5
201602,61.5
201603,61
201604,61.1
201605,61.3
201606,61
201607,61
201608,61
201609,61
201610,60.4
201611,60.7
201612,60.8
201701,60.6
201702,60.2
201703,60.2
201704,59.8
201705,59.9
201706,60
201707,60.2
201708,60.5
201709,60.5
201710,60.8
201711,60.8
201712,61.1
201801,61.6
201802,61.7
201803,61.4
201804,61.5
201805,61.4
201806,61.3
201807,61.4
201808,61.1
201809,61
201810,61.1
201811,61.2
201812,61
201901,61
201902,60.5
201903,60.5
201904,60.8
201905,60.5
201906,60.6
201907,60.2
201908,60.4
201909,60.3
201910,60
201911,60.2
201912,60.2
202001,60.1
202002,60.9
202003,60.9
202004,60.8
202005,61.2
202006,61.1
202007,61.3
202008,61.4
202009,61.9
202010,62.5
202011,62.3
202012,62.4
202101,62.4
202102,62.2
202103,62.2
202104,62.3
202105,62.5
202106,62.7
202107,63
202108,62.9
202109,62.8
202110,62
202111,62.2
202112,61.9
202201,61.9
202202,62.1
202203,62.5
202204,62.2
202205,62
202206,61.8
202207,61.5
202208,61.7
202209,61.8
202210,62.4
202211,61.9
202212,62
202301,61.7
202302,61.2
202303,60.3
202304,60.3
202305,60.3
202306,60
202307,60.1
202308,59.9
202309,59.3
202310,59.1
202311,59.5
202312,60
202401,60.1
202402,60.4
202403,60.8
202404,60.9
202405,61.1
202406,61.6
202407,62
202408,61.9
202409,62.3
202410,62.6
202411,62.3
202412,62.2
202501,62.3
202502,62.4
202503,62.4
202504,62.5
