#  Calaveras County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57.5
200002,57.7
200003,58
200004,58.5
200005,58.7
200006,59.1
200007,59.1
200008,59.4
200009,59.1
200010,58.4
200011,57.8
200012,58
200101,57.8
200102,57.5
200103,57.7
200104,57.2
200105,57.9
200106,57.8
200107,58
200108,58.1
200109,58.3
200110,58.8
200111,59.3
200112,58.9
200201,58.8
200202,59.2
200203,58.9
200204,59.3
200205,58.5
200206,58.4
200207,58.6
200208,58.5
200209,58.5
200210,58.1
200211,58.2
200212,58.3
200301,58.9
200302,58.7
200303,58.9
200304,58.3
200305,58.3
200306,58.3
200307,58.5
200308,58.5
200309,58.7
200310,59.3
200311,58.7
200312,58.8
200401,58.3
200402,58.2
200403,58.7
200404,59.5
200405,59.7
200406,59.6
200407,59.3
200408,59.4
200409,59
200410,58.3
200411,58.4
200412,58.5
200501,58.6
200502,58.8
200503,58.4
200504,57.9
200505,57.7
200506,57.3
200507,57.5
200508,57.7
200509,57.5
200510,57.7
200511,58.2
200512,58.2
200601,58.3
200602,58.2
200603,57.5
200604,57.4
200605,57.8
200606,58.4
200607,58.5
200608,58.2
200609,58.5
200610,58.4
200611,58.1
200612,58
200701,57.9
200702,57.8
200703,58.8
200704,59.1
200705,59.1
200706,58.9
200707,58.6
200708,58.8
200709,58.4
200710,58.4
200711,58.7
200712,58.4
200801,58.3
200802,58.2
200803,57.9
200804,57.7
200805,57.6
200806,57.7
200807,57.8
200808,57.8
200809,58.4
200810,58.7
200811,58.7
200812,58.7
200901,59.2
200902,59.2
200903,59.1
200904,59.1
200905,59.4
200906,59.1
200907,59.2
200908,59
200909,59.1
200910,58.7
200911,58.5
200912,58.5
201001,58.4
201002,58.5
201003,58.5
201004,58.2
201005,57.3
201006,57.4
201007,57.2
201008,57
201009,56.8
201010,57.1
201011,56.8
201012,57
201101,57
201102,56.7
201103,56.6
201104,56.8
201105,56.8
201106,56.5
201107,56.3
201108,56.4
201109,56.6
201110,56.6
201111,56.7
201112,56.5
201201,56.7
201202,57
201203,57.1
201204,57.3
201205,57.9
201206,58.1
201207,58.3
201208,58.7
201209,58.8
201210,58.8
201211,59.1
201212,59
201301,58.6
201302,58.5
201303,59
201304,59.4
201305,59.4
201306,59.6
201307,59.9
201308,59.6
201309,59.1
201310,58.9
201311,59
201312,59.3
201401,60
201402,60.3
201403,60.3
201404,60.2
201405,60.2
201406,60.3
201407,60.3
201408,60.4
201409,60.7
201410,61.1
201411,61.1
201412,61.1
201501,61
201502,61.4
201503,61.8
201504,61.7
201505,61.4
201506,61.7
201507,61.4
201508,61.4
201509,61.5
201510,61.5
201511,61
201512,60.7
201601,60.2
201602,60
201603,59.5
201604,59.6
201605,59.7
201606,59.5
201607,59.6
201608,59.7
201609,59.4
201610,58.9
201611,59.4
201612,59.5
201701,59.3
201702,58.8
201703,58.9
201704,58.6
201705,58.8
201706,58.7
201707,59
201708,59.1
201709,59.2
201710,59.5
201711,59.5
201712,60
201801,60.6
201802,60.7
201803,60.3
201804,60.5
201805,60.3
201806,60.3
201807,60.4
201808,60.2
201809,60.3
201810,60.3
201811,60.4
201812,60
201901,59.8
201902,59.2
201903,59.3
201904,59.4
201905,59.1
201906,59.1
201907,58.6
201908,58.7
201909,58.4
201910,58.2
201911,58.2
201912,58.3
202001,58.1
202002,59
202003,59
202004,58.8
202005,59.3
202006,59.2
202007,59.4
202008,59.6
202009,60.2
202010,60.9
202011,60.6
202012,60.7
202101,60.8
202102,60.5
202103,60.5
202104,60.7
202105,60.8
202106,61.2
202107,61.6
202108,61.5
202109,61.4
202110,60.5
202111,60.8
202112,60.5
202201,60.6
202202,60.7
202203,61.1
202204,60.8
202205,60.6
202206,60.3
202207,59.9
202208,59.9
202209,60
202210,60.5
202211,59.8
202212,59.9
202301,59.4
202302,59
202303,58.2
202304,58.2
202305,58.1
202306,57.7
202307,57.9
202308,57.7
202309,57.2
202310,57
202311,57.5
202312,57.9
202401,58.2
202402,58.4
202403,58.9
202404,58.9
202405,59.1
202406,59.8
202407,60.1
202408,60.1
202409,60.6
202410,60.9
202411,60.6
202412,60.6
202501,60.7
202502,60.9
202503,60.9
202504,61
