#  Del Norte County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,51.4
200002,51.8
200003,52
200004,52.3
200005,52.5
200006,52.8
200007,52.9
200008,52.8
200009,52.8
200010,52.6
200011,52.2
200012,52.3
200101,52.4
200102,52.1
200103,52.3
200104,51.9
200105,52.2
200106,51.9
200107,51.9
200108,52
200109,51.9
200110,52.1
200111,52.4
200112,52.3
200201,52.2
200202,52.5
200203,52.2
200204,52.4
200205,52.1
200206,52.2
200207,52.4
200208,52.4
200209,52.4
200210,52.3
200211,52.4
200212,52.6
200301,53.2
200302,53
200303,53.3
200304,53
200305,53.1
200306,53.3
200307,53.3
200308,53.4
200309,53.5
200310,53.8
200311,53.4
200312,53.3
200401,52.9
200402,52.9
200403,53.1
200404,53.6
200405,53.7
200406,53.6
200407,53.6
200408,53.7
200409,53.5
200410,53.3
200411,53.4
200412,53.5
200501,53.4
200502,53.5
200503,53.5
200504,53.2
200505,53.1
200506,52.8
200507,52.9
200508,52.8
200509,52.6
200510,52.5
200511,52.6
200512,52.6
200601,52.6
200602,52.5
200603,51.9
200604,52
200605,52
200606,52.4
200607,52.4
200608,52.2
200609,52.3
200610,52.4
200611,52.3
200612,52.3
200701,52
200702,51.9
200703,52.4
200704,52.4
200705,52.4
200706,52.1
200707,52
200708,52
200709,51.9
200710,51.8
200711,51.9
200712,51.7
200801,51.6
200802,51.6
200803,51.1
200804,50.9
200805,50.8
200806,50.8
200807,50.7
200808,50.8
200809,51.2
200810,51.3
200811,51.5
200812,51.5
200901,52
200902,52
200903,52.1
200904,52.3
200905,52.5
200906,52.7
200907,52.9
200908,52.9
200909,52.8
200910,52.7
200911,52.3
200912,52.4
201001,52.4
201002,52.7
201003,52.7
201004,52.5
201005,52
201006,51.8
201007,51.7
201008,51.6
201009,51.5
201010,51.7
201011,51.6
201012,51.9
201101,51.9
201102,51.5
201103,51.5
201104,51.5
201105,51.5
201106,51.5
201107,51.3
201108,51.4
201109,51.6
201110,51.6
201111,51.5
201112,51.3
201201,51.2
201202,51.2
201203,51
201204,51.2
201205,51.5
201206,51.4
201207,51.4
201208,51.5
201209,51.6
201210,51.6
201211,51.9
201212,51.8
201301,51.6
201302,51.7
201303,52.2
201304,52.5
201305,52.6
201306,53
201307,53.5
201308,53.3
201309,52.8
201310,52.7
201311,52.7
201312,52.9
201401,53.3
201402,53.5
201403,53.5
201404,53.5
201405,53.6
201406,53.5
201407,53.5
201408,53.8
201409,54.2
201410,54.5
201411,54.6
201412,54.9
201501,55.1
201502,55.4
201503,55.7
201504,55.6
201505,55.6
201506,56.1
201507,55.9
201508,55.6
201509,55.3
201510,55.5
201511,55.1
201512,54.7
201601,54.1
201602,53.9
201603,53.5
201604,53.8
201605,53.9
201606,53.4
201607,53.2
201608,53.4
201609,53.5
201610,52.8
201611,53.1
201612,52.9
201701,52.6
201702,52.2
201703,52.1
201704,51.6
201705,51.5
201706,51.4
201707,51.6
201708,51.8
201709,51.8
201710,52.2
201711,52
201712,52.4
201801,53
201802,53
201803,52.9
201804,53.1
201805,53.2
201806,53.1
201807,53.2
201808,52.8
201809,52.8
201810,52.9
201811,53.2
201812,52.9
201901,53
201902,52.4
201903,52.5
201904,52.7
201905,52.6
201906,52.8
201907,52.4
201908,52.5
201909,52.3
201910,51.9
201911,52
201912,52.1
202001,51.9
202002,52.6
202003,52.4
202004,52.5
202005,52.4
202006,52.2
202007,52.4
202008,52.5
202009,53
202010,53.7
202011,53.3
202012,53.3
202101,53.5
202102,53.2
202103,53.2
202104,53.2
202105,53.4
202106,53.8
202107,54.1
202108,54.1
202109,53.9
202110,53.3
202111,53.5
202112,53.3
202201,53.6
202202,53.9
202203,54.2
202204,53.7
202205,53.3
202206,52.9
202207,52.8
202208,52.9
202209,53.1
202210,53.8
202211,53.4
202212,53.5
202301,53.1
202302,52.6
202303,51.9
202304,52
202305,52.4
202306,52.4
202307,52.4
202308,52.2
202309,51.9
202310,51.5
202311,51.8
202312,52.1
202401,52.4
202402,52.6
202403,53.1
202404,53.2
202405,53.1
202406,53.1
202407,53.4
202408,53.1
202409,53.4
202410,53.4
202411,53.1
202412,53.1
202501,53
202502,52.8
202503,52.8
202504,53.1
