#  Madera County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55.7
200002,56
200003,56.2
200004,56.7
200005,57
200006,57.4
200007,57.3
200008,57.6
200009,57.4
200010,57
200011,56.4
200012,56.5
200101,56.2
200102,55.9
200103,56.1
200104,55.6
200105,56.1
200106,56
200107,56.1
200108,56.2
200109,56.4
200110,56.8
200111,57.3
200112,57
200201,56.9
200202,57.4
200203,57
200204,57.4
200205,56.7
200206,56.6
200207,56.9
200208,56.7
200209,56.7
200210,56.3
200211,56.4
200212,56.5
200301,57
200302,56.8
200303,57
200304,56.5
200305,56.5
200306,56.5
200307,56.7
200308,56.7
200309,57
200310,57.5
200311,57
200312,57
200401,56.6
200402,56.5
200403,56.9
200404,57.6
200405,57.8
200406,57.7
200407,57.5
200408,57.5
200409,57.2
200410,56.5
200411,56.5
200412,56.5
200501,56.5
200502,56.8
200503,56.3
200504,55.8
200505,55.6
200506,55.2
200507,55.5
200508,55.6
200509,55.3
200510,55.5
200511,56
200512,56.3
200601,56.3
200602,56.3
200603,55.7
200604,55.7
200605,56
200606,56.6
200607,56.6
200608,56.4
200609,56.7
200610,56.5
200611,56.4
200612,56.1
200701,55.8
200702,55.7
200703,56.7
200704,57
200705,57
200706,56.8
200707,56.6
200708,56.8
200709,56.6
200710,56.6
200711,56.8
200712,56.6
200801,56.7
200802,56.6
200803,56.2
200804,56.1
200805,55.9
200806,55.9
200807,56
200808,56
200809,56.4
200810,56.6
200811,56.6
200812,56.7
200901,57
200902,57
200903,56.9
200904,56.9
200905,57.3
200906,57
200907,57
200908,56.8
200909,57
200910,56.7
200911,56.4
200912,56.5
201001,56.4
201002,56.5
201003,56.5
201004,56.1
201005,55.2
201006,55.3
201007,55.2
201008,55.1
201009,54.8
201010,55.1
201011,54.9
201012,55.2
201101,55.2
201102,54.9
201103,54.8
201104,55.1
201105,55.2
201106,54.9
201107,54.7
201108,54.9
201109,55.1
201110,55.1
201111,55.1
201112,54.8
201201,55
201202,55.2
201203,55.4
201204,55.5
201205,56.1
201206,56.4
201207,56.5
201208,56.8
201209,56.9
201210,56.9
201211,57.2
201212,57.3
201301,57
201302,56.8
201303,57.2
201304,57.5
201305,57.5
201306,57.8
201307,58.1
201308,57.8
201309,57.4
201310,57.1
201311,57.1
201312,57.2
201401,57.8
201402,58.2
201403,58.2
201404,58.2
201405,58.3
201406,58.2
201407,58.2
201408,58.2
201409,58.5
201410,59
201411,59
201412,59.3
201501,59.1
201502,59.4
201503,59.7
201504,59.6
201505,59.3
201506,59.5
201507,59.3
201508,59.3
201509,59.3
201510,59.3
201511,58.9
201512,58.4
201601,58.2
201602,58
201603,57.6
201604,57.7
201605,57.8
201606,57.7
201607,57.8
201608,57.8
201609,57.6
201610,57.2
201611,57.7
201612,57.9
201701,57.7
201702,57.4
201703,57.4
201704,57.1
201705,57.2
201706,57.1
201707,57.3
201708,57.5
201709,57.5
201710,57.5
201711,57.5
201712,57.8
201801,58.4
201802,58.3
201803,58
201804,58.1
201805,58
201806,57.9
201807,58
201808,57.8
201809,57.9
201810,57.9
201811,57.9
201812,57.7
201901,57.5
201902,57.1
201903,57.1
201904,57.2
201905,56.8
201906,56.8
201907,56.5
201908,56.5
201909,56.4
201910,56.2
201911,56.2
201912,56.3
202001,56.1
202002,56.8
202003,56.7
202004,56.5
202005,57.1
202006,57
202007,57.1
202008,57.3
202009,57.7
202010,58.3
202011,58.1
202012,58
202101,58.1
202102,57.9
202103,57.9
202104,58.1
202105,58.1
202106,58.4
202107,58.7
202108,58.6
202109,58.6
202110,57.9
202111,58.2
202112,58
202201,58
202202,58
202203,58.4
202204,58.2
202205,58
202206,57.8
202207,57.6
202208,57.7
202209,57.9
202210,58.4
202211,57.9
202212,57.9
202301,57.7
202302,57.3
202303,56.6
202304,56.6
202305,56.6
202306,56.1
202307,56.2
202308,55.9
202309,55.3
202310,55.2
202311,55.7
202312,56.2
202401,56.4
202402,56.8
202403,57.2
202404,57.2
202405,57.3
202406,58
202407,58.2
202408,58.3
202409,58.7
202410,59
202411,58.7
202412,58.7
202501,58.7
202502,58.8
202503,58.8
202504,58.8
