#  Mariposa County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55
200002,55.1
200003,55.4
200004,55.9
200005,56.1
200006,56.6
200007,56.5
200008,56.8
200009,56.5
200010,55.9
200011,55.2
200012,55.4
200101,55.2
200102,54.9
200103,55.1
200104,54.6
200105,55.2
200106,55.1
200107,55.2
200108,55.4
200109,55.6
200110,56.2
200111,56.6
200112,56.1
200201,56.1
200202,56.6
200203,56.2
200204,56.6
200205,55.9
200206,55.8
200207,56.1
200208,56
200209,55.9
200210,55.5
200211,55.6
200212,55.7
200301,56.3
200302,56
200303,56.3
200304,55.7
200305,55.7
200306,55.7
200307,55.8
200308,55.8
200309,56.1
200310,56.7
200311,56.1
200312,56.1
200401,55.5
200402,55.3
200403,55.9
200404,56.6
200405,56.8
200406,56.7
200407,56.5
200408,56.6
200409,56.2
200410,55.4
200411,55.5
200412,55.7
200501,55.8
200502,56.1
200503,55.5
200504,55
200505,54.8
200506,54.4
200507,54.6
200508,54.8
200509,54.5
200510,54.7
200511,55.3
200512,55.4
200601,55.4
200602,55.4
200603,54.7
200604,54.7
200605,55
200606,55.7
200607,55.7
200608,55.5
200609,55.8
200610,55.7
200611,55.5
200612,55.3
200701,55.1
200702,55
200703,56
200704,56.3
200705,56.4
200706,56.2
200707,55.9
200708,56.1
200709,55.9
200710,55.8
200711,56.2
200712,55.9
200801,55.8
200802,55.7
200803,55.4
200804,55.3
200805,55.1
200806,55.2
200807,55.2
200808,55.3
200809,55.8
200810,56.1
200811,56
200812,56.1
200901,56.6
200902,56.5
200903,56.4
200904,56.3
200905,56.7
200906,56.3
200907,56.4
200908,56.2
200909,56.3
200910,55.9
200911,55.7
200912,55.7
201001,55.6
201002,55.7
201003,55.7
201004,55.3
201005,54.3
201006,54.5
201007,54.4
201008,54.2
201009,54
201010,54.2
201011,53.9
201012,54.2
201101,54.1
201102,53.9
201103,53.7
201104,54
201105,54
201106,53.7
201107,53.4
201108,53.6
201109,53.7
201110,53.8
201111,53.8
201112,53.8
201201,54
201202,54.2
201203,54.4
201204,54.6
201205,55.2
201206,55.6
201207,55.7
201208,56.1
201209,56.2
201210,56.3
201211,56.6
201212,56.4
201301,56
201302,55.9
201303,56.3
201304,56.6
201305,56.6
201306,56.9
201307,57.2
201308,56.8
201309,56.3
201310,56
201311,56
201312,56.3
201401,57
201402,57.3
201403,57.3
201404,57.3
201405,57.4
201406,57.3
201407,57.3
201408,57.4
201409,57.6
201410,58.2
201411,58.2
201412,58.4
201501,58.2
201502,58.6
201503,58.9
201504,58.8
201505,58.5
201506,58.7
201507,58.4
201508,58.5
201509,58.5
201510,58.5
201511,57.9
201512,57.5
201601,57
201602,56.9
201603,56.5
201604,56.5
201605,56.7
201606,56.6
201607,56.8
201608,56.8
201609,56.6
201610,56.2
201611,56.7
201612,56.9
201701,56.7
201702,56.2
201703,56.2
201704,56
201705,56.1
201706,56
201707,56.2
201708,56.3
201709,56.2
201710,56.4
201711,56.5
201712,57
201801,57.7
201802,57.7
201803,57.3
201804,57.5
201805,57.3
201806,57.3
201807,57.3
201808,57.2
201809,57.4
201810,57.3
201811,57.3
201812,56.9
201901,56.7
201902,56.1
201903,56.1
201904,56.2
201905,55.8
201906,55.8
201907,55.4
201908,55.4
201909,55.1
201910,55
201911,55
201912,55
202001,54.9
202002,55.8
202003,55.7
202004,55.5
202005,56.1
202006,56
202007,56.2
202008,56.4
202009,56.9
202010,57.5
202011,57.3
202012,57.4
202101,57.4
202102,57.2
202103,57.2
202104,57.4
202105,57.4
202106,57.8
202107,58.2
202108,58
202109,58
202110,57.2
202111,57.5
202112,57.2
202201,57.2
202202,57.2
202203,57.6
202204,57.3
202205,57.1
202206,56.8
202207,56.5
202208,56.6
202209,56.7
202210,57.3
202211,56.6
202212,56.6
202301,56.3
202302,55.9
202303,55.2
202304,55.3
202305,55.2
202306,54.8
202307,55
202308,54.7
202309,54.2
202310,54
202311,54.5
202312,55
202401,55.3
202402,55.6
202403,56.1
202404,56.1
202405,56.2
202406,56.9
202407,57.2
202408,57.2
202409,57.7
202410,58
202411,57.7
202412,57.7
202501,57.8
202502,57.9
202503,58
202504,58
