#  Modoc County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,46.1
200002,46.6
200003,46.8
200004,47.3
200005,47.5
200006,47.9
200007,48
200008,48.2
200009,47.9
200010,47.5
200011,46.8
200012,46.9
200101,46.9
200102,46.4
200103,46.6
200104,46.1
200105,46.6
200106,46.3
200107,46.4
200108,46.6
200109,46.9
200110,47.3
200111,47.7
200112,47.4
200201,47.2
200202,47.7
200203,47.3
200204,47.7
200205,47.1
200206,47.3
200207,47.6
200208,47.3
200209,47.2
200210,46.9
200211,47
200212,47.3
200301,48.1
200302,47.9
200303,48.3
200304,47.7
200305,47.8
200306,47.9
200307,48
200308,48
200309,48.2
200310,48.7
200311,48.2
200312,48.1
200401,47.5
200402,47.4
200403,47.8
200404,48.4
200405,48.4
200406,48.2
200407,48
200408,48.1
200409,47.7
200410,47.2
200411,47.4
200412,47.5
200501,47.5
200502,47.7
200503,47.4
200504,47.1
200505,47.1
200506,46.6
200507,46.7
200508,46.8
200509,46.7
200510,46.8
200511,46.9
200512,46.9
200601,47
200602,46.8
200603,46.2
200604,46.2
200605,46.5
200606,47.2
200607,47.2
200608,47
200609,47.3
200610,47.2
200611,47.2
200612,47
200701,46.7
200702,46.8
200703,47.7
200704,47.8
200705,47.8
200706,47.5
200707,47.5
200708,47.6
200709,47.3
200710,47.2
200711,47.4
200712,47
200801,46.8
200802,46.7
200803,46.1
200804,45.7
200805,45.5
200806,45.4
200807,45.2
200808,45.3
200809,45.6
200810,46
200811,46.2
200812,46.3
200901,46.9
200902,47.1
200903,47.1
200904,47.3
200905,47.5
200906,47.5
200907,47.6
200908,47.5
200909,47.6
200910,47.3
200911,46.9
200912,46.8
201001,47
201002,47.1
201003,47.2
201004,47
201005,46.1
201006,46.1
201007,46
201008,45.9
201009,45.6
201010,46
201011,45.8
201012,46.3
201101,46
201102,45.6
201103,45.5
201104,45.4
201105,45.5
201106,45.3
201107,45.1
201108,45.3
201109,45.6
201110,45.5
201111,45.6
201112,45.5
201201,45.6
201202,45.8
201203,45.9
201204,46.4
201205,46.8
201206,46.9
201207,47.2
201208,47.4
201209,47.4
201210,47.5
201211,47.9
201212,47.6
201301,47
201302,47
201303,47.4
201304,47.3
201305,47.4
201306,47.7
201307,48
201308,47.7
201309,47.2
201310,46.7
201311,46.7
201312,46.8
201401,47.6
201402,47.9
201403,47.9
201404,48
201405,48.2
201406,48.2
201407,48.2
201408,48.4
201409,48.7
201410,49.2
201411,49.2
201412,49.7
201501,49.9
201502,50.3
201503,50.7
201504,50.6
201505,50.6
201506,51
201507,50.6
201508,50.7
201509,50.6
201510,50.8
201511,50.3
201512,49.8
201601,49.2
201602,49.1
201603,48.6
201604,49
201605,49
201606,48.6
201607,48.5
201608,48.6
201609,48.5
201610,47.9
201611,48.4
201612,48.4
201701,48
201702,47.5
201703,47.6
201704,47.1
201705,47.2
201706,47.2
201707,47.6
201708,47.7
201709,47.8
201710,47.8
201711,47.7
201712,48.2
201801,49.1
201802,48.8
201803,48.4
201804,48.6
201805,48.6
201806,48.5
201807,48.5
201808,48.3
201809,48.2
201810,48.3
201811,48.3
201812,48
201901,47.8
201902,47.5
201903,47.5
201904,47.7
201905,47.4
201906,47.4
201907,47
201908,47
201909,46.7
201910,46.4
201911,46.5
201912,46.7
202001,46.6
202002,47.3
202003,47.4
202004,47.4
202005,47.6
202006,47.5
202007,47.7
202008,47.8
202009,48.6
202010,49.3
202011,49
202012,49
202101,48.9
202102,48.7
202103,48.7
202104,48.8
202105,48.8
202106,49.5
202107,50
202108,49.9
202109,49.6
202110,49.1
202111,49.4
202112,49.3
202201,49.5
202202,49.7
202203,50.1
202204,49.7
202205,49.3
202206,48.7
202207,48.4
202208,48.6
202209,48.8
202210,49.3
202211,48.5
202212,48.4
202301,47.9
202302,47.5
202303,46.5
202304,46.6
202305,47
202306,46.9
202307,46.9
202308,46.6
202309,46.1
202310,45.8
202311,46.4
202312,47.1
202401,47.5
202402,47.8
202403,48.4
202404,48.5
202405,48.3
202406,48.7
202407,48.9
202408,48.9
202409,49.3
202410,49.4
202411,49
202412,48.9
202501,48.8
202502,48.6
202503,48.7
202504,48.9
