#  Napa County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,58.6
200002,58.9
200003,59.3
200004,59.5
200005,59.8
200006,60.1
200007,60
200008,60.1
200009,60.1
200010,59.8
200011,59.3
200012,59.3
200101,59.1
200102,58.9
200103,59.1
200104,58.7
200105,59.2
200106,59.3
200107,59.4
200108,59.4
200109,59.4
200110,59.7
200111,60.2
200112,60.1
200201,60
200202,60.3
200203,60
200204,60.2
200205,59.5
200206,59.4
200207,59.6
200208,59.5
200209,59.6
200210,59.3
200211,59.4
200212,59.5
200301,60
200302,59.9
200303,60.1
200304,59.6
200305,59.7
200306,59.7
200307,59.9
200308,59.9
200309,60
200310,60.4
200311,60
200312,59.9
200401,59.5
200402,59.4
200403,59.9
200404,60.5
200405,60.6
200406,60.5
200407,60.3
200408,60.3
200409,60.3
200410,59.8
200411,60
200412,60.1
200501,60
200502,60.2
200503,59.8
200504,59.5
200505,59.3
200506,59.1
200507,59.3
200508,59.3
200509,58.9
200510,59
200511,59.3
200512,59.4
200601,59.6
200602,59.5
200603,58.9
200604,58.8
200605,59
200606,59.5
200607,59.6
200608,59.4
200609,59.6
200610,59.5
200611,59.3
200612,59.1
200701,58.9
200702,58.8
200703,59.6
200704,59.9
200705,59.9
200706,59.7
200707,59.4
200708,59.6
200709,59.4
200710,59.4
200711,59.5
200712,59.4
200801,59.4
200802,59.4
200803,59.1
200804,58.9
200805,58.9
200806,59
200807,59
200808,59.1
200809,59.3
200810,59.7
200811,59.7
200812,59.6
200901,60
200902,59.9
200903,59.9
200904,60
200905,60
200906,59.8
200907,59.8
200908,59.6
200909,59.8
200910,59.6
200911,59.3
200912,59.4
201001,59.2
201002,59.4
201003,59.3
201004,59
201005,58.5
201006,58.6
201007,58.5
201008,58.2
201009,58
201010,58.1
201011,58.1
201012,58.4
201101,58.4
201102,58.2
201103,58
201104,58.3
201105,58.3
201106,58.1
201107,58.1
201108,58.2
201109,58.4
201110,58.4
201111,58.2
201112,58.2
201201,58.2
201202,58.5
201203,58.4
201204,58.5
201205,59
201206,59.2
201207,59.2
201208,59.4
201209,59.1
201210,59.2
201211,59.5
201212,59.5
201301,59.2
201302,59.2
201303,59.5
201304,59.9
201305,60
201306,60.1
201307,60.3
201308,60.2
201309,60.2
201310,60
201311,60
201312,60.1
201401,60.7
201402,60.9
201403,61.1
201404,60.9
201405,61
201406,61
201407,61.1
201408,61.2
201409,61.3
201410,61.7
201411,61.7
201412,62
201501,61.9
201502,62.2
201503,62.4
201504,62.3
201505,62
201506,62
201507,62
201508,62.1
201509,62.2
201510,62.3
201511,62
201512,61.6
201601,61.3
201602,61.3
201603,60.9
201604,61
201605,61.2
201606,61.2
201607,61.1
201608,60.9
201609,60.7
201610,60.2
201611,60.4
201612,60.4
201701,60.2
201702,59.8
201703,59.9
201704,59.6
201705,59.6
201706,59.6
201707,59.8
201708,60.1
201709,60.3
201710,60.6
201711,60.6
201712,60.8
201801,61.2
201802,61.3
201803,60.9
201804,61
201805,60.8
201806,60.8
201807,60.8
201808,60.5
201809,60.3
201810,60.3
201811,60.5
201812,60.4
201901,60.5
201902,59.9
201903,60
201904,60.3
201905,60.1
201906,60.2
201907,60
201908,60.2
201909,60.2
201910,60
201911,60
201912,60
202001,59.9
202002,60.6
202003,60.6
202004,60.5
202005,60.9
202006,60.9
202007,60.9
202008,61.1
202009,61.4
202010,62
202011,61.9
202012,61.9
202101,62
202102,61.8
202103,61.8
202104,61.8
202105,61.9
202106,61.9
202107,61.9
202108,61.7
202109,61.5
202110,60.8
202111,60.9
202112,60.6
202201,60.6
202202,60.6
202203,60.9
202204,60.8
202205,60.6
202206,60.6
202207,60.5
202208,60.6
202209,60.7
202210,61
202211,60.6
202212,60.6
202301,60.4
202302,60
202303,59.3
202304,59.3
202305,59.1
202306,58.6
202307,58.7
202308,58.7
202309,58.3
202310,58.2
202311,58.7
202312,59.1
202401,59.2
202402,59.5
202403,59.8
202404,59.9
202405,60.2
202406,60.7
202407,61
202408,60.9
202409,61.2
202410,61.4
202411,61.1
202412,61.1
202501,61.1
202502,61.2
202503,61.2
202504,61.2
