#  Sacramento County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,61.1
200002,61.4
200003,61.7
200004,62
200005,62.3
200006,62.6
200007,62.6
200008,62.7
200009,62.6
200010,62.2
200011,61.7
200012,61.7
200101,61.5
200102,61.3
200103,61.4
200104,61
200105,61.6
200106,61.6
200107,61.7
200108,61.8
200109,61.8
200110,62.2
200111,62.7
200112,62.7
200201,62.7
200202,62.9
200203,62.5
200204,62.7
200205,62.1
200206,62
200207,62.2
200208,62.1
200209,62.2
200210,61.9
200211,61.9
200212,62
200301,62.4
200302,62.3
200303,62.6
200304,62.2
200305,62.2
200306,62.1
200307,62.4
200308,62.5
200309,62.6
200310,62.9
200311,62.6
200312,62.5
200401,62.2
200402,62.2
200403,62.6
200404,63.3
200405,63.4
200406,63.4
200407,63
200408,63.1
200409,62.9
200410,62.5
200411,62.5
200412,62.4
200501,62.4
200502,62.6
200503,62.2
200504,61.8
200505,61.7
200506,61.4
200507,61.7
200508,61.8
200509,61.6
200510,61.7
200511,62
200512,62.2
200601,62.5
200602,62.4
200603,61.8
200604,61.8
200605,62
200606,62.5
200607,62.6
200608,62.3
200609,62.5
200610,62.3
200611,62.2
200612,61.9
200701,61.6
200702,61.5
200703,62.3
200704,62.5
200705,62.5
200706,62.3
200707,61.9
200708,62.1
200709,62
200710,62
200711,62.1
200712,62
200801,62.1
200802,62
200803,61.7
200804,61.5
200805,61.5
200806,61.6
200807,61.6
200808,61.7
200809,62
200810,62.3
200811,62.3
200812,62.2
200901,62.4
200902,62.4
200903,62.4
200904,62.4
200905,62.6
200906,62.4
200907,62.4
200908,62.2
200909,62.4
200910,62.2
200911,61.9
200912,62
201001,62
201002,62.1
201003,62.1
201004,61.8
201005,61.1
201006,61.3
201007,61.1
201008,60.9
201009,60.7
201010,60.9
201011,60.8
201012,61.2
201101,61
201102,60.7
201103,60.6
201104,60.8
201105,60.8
201106,60.5
201107,60.5
201108,60.6
201109,60.8
201110,60.8
201111,60.8
201112,60.5
201201,60.7
201202,61
201203,61
201204,61.1
201205,61.6
201206,61.8
201207,61.9
201208,62.1
201209,62
201210,62.1
201211,62.4
201212,62.4
201301,62.2
201302,62
201303,62.4
201304,62.8
201305,62.9
201306,63.1
201307,63.3
201308,63.1
201309,62.9
201310,62.7
201311,62.8
201312,62.7
201401,63.3
201402,63.6
201403,63.7
201404,63.5
201405,63.6
201406,63.7
201407,63.8
201408,63.8
201409,64
201410,64.4
201411,64.4
201412,64.9
201501,64.7
201502,64.9
201503,65.2
201504,65.1
201505,64.7
201506,64.9
201507,64.8
201508,64.8
201509,64.9
201510,65
201511,64.6
201512,64.1
201601,64.1
201602,64
201603,63.7
201604,63.8
201605,64
201606,64
201607,63.9
201608,63.9
201609,63.7
201610,63.2
201611,63.5
201612,63.5
201701,63.2
201702,63
201703,63
201704,62.7
201705,62.7
201706,62.7
201707,62.9
201708,63.1
201709,63.3
201710,63.4
201711,63.4
201712,63.7
201801,64
201802,63.9
201803,63.6
201804,63.6
201805,63.4
201806,63.3
201807,63.3
201808,63
201809,62.8
201810,62.9
201811,62.9
201812,62.9
201901,62.9
201902,62.6
201903,62.6
201904,62.9
201905,62.7
201906,62.8
201907,62.6
201908,62.9
201909,62.9
201910,62.7
201911,62.8
201912,62.9
202001,62.7
202002,63.3
202003,63.3
202004,63.2
202005,63.7
202006,63.7
202007,63.7
202008,63.8
202009,64.2
202010,64.7
202011,64.5
202012,64.4
202101,64.4
202102,64.2
202103,64.2
202104,64.3
202105,64.3
202106,64.3
202107,64.5
202108,64.2
202109,64.1
202110,63.5
202111,63.6
202112,63.4
202201,63.4
202202,63.4
202203,63.8
202204,63.6
202205,63.4
202206,63.4
202207,63.2
202208,63.4
202209,63.6
202210,64
202211,63.6
202212,63.6
202301,63.5
202302,63.1
202303,62.5
202304,62.5
202305,62.3
202306,61.8
202307,61.9
202308,61.9
202309,61.4
202310,61.3
202311,61.8
202312,62.2
202401,62.4
202402,62.8
202403,63.1
202404,63.2
202405,63.4
202406,63.9
202407,64.2
202408,64.1
202409,64.4
202410,64.7
202411,64.4
202412,64.4
202501,64.2
202502,64.2
202503,64.2
202504,64.2
