#  San Joaquin County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,60.9
200002,61.2
200003,61.5
200004,61.8
200005,62.1
200006,62.4
200007,62.3
200008,62.5
200009,62.5
200010,62.2
200011,61.6
200012,61.6
200101,61.3
200102,61
200103,61.2
200104,60.8
200105,61.3
200106,61.3
200107,61.5
200108,61.6
200109,61.6
200110,61.9
200111,62.4
200112,62.5
200201,62.4
200202,62.6
200203,62.3
200204,62.5
200205,61.9
200206,61.8
200207,61.9
200208,61.8
200209,61.9
200210,61.7
200211,61.6
200212,61.7
200301,62.1
200302,62
200303,62.3
200304,62
200305,62
200306,62
200307,62.2
200308,62.3
200309,62.4
200310,62.8
200311,62.5
200312,62.5
200401,62.2
200402,62.2
200403,62.6
200404,63.1
200405,63.3
200406,63.2
200407,62.9
200408,63
200409,62.9
200410,62.4
200411,62.4
200412,62.2
200501,62.1
200502,62.3
200503,62
200504,61.6
200505,61.5
200506,61.2
200507,61.5
200508,61.6
200509,61.3
200510,61.5
200511,61.9
200512,62.1
200601,62.4
200602,62.3
200603,61.8
200604,61.8
200605,61.9
200606,62.4
200607,62.5
200608,62.2
200609,62.4
200610,62.2
200611,62
200612,61.8
200701,61.5
200702,61.4
200703,62.2
200704,62.4
200705,62.4
200706,62.2
200707,61.9
200708,62.1
200709,62
200710,62
200711,62.2
200712,62
200801,62.1
200802,62
200803,61.7
200804,61.5
200805,61.5
200806,61.6
200807,61.6
200808,61.7
200809,61.9
200810,62.2
200811,62.2
200812,62.1
200901,62.3
200902,62.3
200903,62.3
200904,62.3
200905,62.5
200906,62.3
200907,62.3
200908,62.1
200909,62.3
200910,62
200911,61.8
200912,61.9
201001,61.9
201002,62
201003,61.9
201004,61.6
201005,61
201006,61.1
201007,61
201008,60.7
201009,60.5
201010,60.7
201011,60.7
201012,61.1
201101,60.9
201102,60.6
201103,60.6
201104,60.8
201105,60.8
201106,60.5
201107,60.5
201108,60.7
201109,60.8
201110,60.8
201111,60.8
201112,60.4
201201,60.6
201202,60.9
201203,60.8
201204,61
201205,61.4
201206,61.6
201207,61.6
201208,61.8
201209,61.7
201210,61.7
201211,62.1
201212,62.2
201301,61.9
201302,61.8
201303,62.1
201304,62.4
201305,62.5
201306,62.7
201307,62.9
201308,62.7
201309,62.5
201310,62.3
201311,62.3
201312,62.2
201401,62.7
201402,63.1
201403,63.2
201404,63
201405,63.1
201406,63
201407,63.1
201408,63.2
201409,63.4
201410,63.8
201411,63.9
201412,64.5
201501,64.3
201502,64.5
201503,64.7
201504,64.7
201505,64.3
201506,64.5
201507,64.4
201508,64.5
201509,64.5
201510,64.7
201511,64.3
201512,63.9
201601,63.9
201602,63.9
201603,63.5
201604,63.6
201605,63.8
201606,63.8
201607,63.8
201608,63.7
201609,63.5
201610,63
201611,63.4
201612,63.3
201701,63.1
201702,62.9
201703,62.9
201704,62.6
201705,62.8
201706,62.8
201707,63
201708,63.3
201709,63.5
201710,63.6
201711,63.6
201712,63.7
201801,64.1
201802,64.1
201803,63.9
201804,64
201805,63.8
201806,63.7
201807,63.7
201808,63.4
201809,63.2
201810,63.3
201811,63.2
201812,63.3
201901,63.3
201902,62.9
201903,62.9
201904,63.1
201905,62.9
201906,63
201907,62.8
201908,63
201909,63.1
201910,62.9
201911,63
201912,63.1
202001,63
202002,63.5
202003,63.5
202004,63.3
202005,63.8
202006,63.8
202007,63.8
202008,63.9
202009,64.3
202010,64.8
202011,64.6
202012,64.5
202101,64.5
202102,64.4
202103,64.4
202104,64.4
202105,64.4
202106,64.5
202107,64.7
202108,64.5
202109,64.4
202110,63.8
202111,64
202112,63.7
202201,63.6
202202,63.5
202203,63.9
202204,63.8
202205,63.6
202206,63.7
202207,63.4
202208,63.5
202209,63.7
202210,64.1
202211,63.6
202212,63.6
202301,63.6
202302,63.3
202303,62.7
202304,62.6
202305,62.4
202306,61.9
202307,62
202308,62
202309,61.5
202310,61.4
202311,61.8
202312,62.2
202401,62.4
202402,62.8
202403,63.1
202404,63.2
202405,63.4
202406,64
202407,64.3
202408,64.1
202409,64.5
202410,64.7
202411,64.5
202412,64.5
202501,64.2
202502,64.2
202503,64.2
202504,64.3
