#  San Luis Obispo County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,58.3
200002,58.5
200003,58.8
200004,59.2
200005,59.6
200006,60
200007,60
200008,60.2
200009,60.2
200010,59.7
200011,59.2
200012,59.4
200101,59.1
200102,58.7
200103,58.9
200104,58.5
200105,58.8
200106,58.8
200107,58.9
200108,58.9
200109,59
200110,59.3
200111,59.7
200112,59.4
200201,59.3
200202,59.7
200203,59.4
200204,59.7
200205,59.1
200206,59
200207,59.1
200208,59.1
200209,59.1
200210,58.8
200211,58.9
200212,59
200301,59.7
200302,59.5
200303,59.8
200304,59.5
200305,59.6
200306,59.5
200307,59.7
200308,59.9
200309,60
200310,60.5
200311,60.1
200312,60.1
200401,59.6
200402,59.4
200403,59.8
200404,60.3
200405,60.4
200406,60.4
200407,60.1
200408,60.1
200409,59.9
200410,59.4
200411,59.3
200412,59.3
200501,59.5
200502,59.7
200503,59.3
200504,59
200505,59
200506,58.7
200507,59
200508,59.1
200509,58.8
200510,58.9
200511,59.4
200512,59.6
200601,59.6
200602,59.6
200603,59
200604,58.9
200605,59
200606,59.5
200607,59.6
200608,59.3
200609,59.5
200610,59.4
200611,59.2
200612,59
200701,58.7
200702,58.6
200703,59.4
200704,59.7
200705,59.6
200706,59.5
200707,59.2
200708,59.4
200709,59.3
200710,59.4
200711,59.5
200712,59.2
200801,59.4
200802,59.3
200803,59
200804,58.9
200805,58.8
200806,58.8
200807,58.9
200808,59
200809,59.3
200810,59.6
200811,59.7
200812,59.8
200901,60.1
200902,60.1
200903,60
200904,60
200905,60.4
200906,60.1
200907,60.2
200908,60
200909,60.2
200910,59.9
200911,59.6
200912,59.7
201001,59.6
201002,59.7
201003,59.7
201004,59.5
201005,58.9
201006,59
201007,58.7
201008,58.5
201009,58.3
201010,58.4
201011,58.3
201012,58.6
201101,58.6
201102,58.3
201103,58.3
201104,58.5
201105,58.5
201106,58.3
201107,58.4
201108,58.5
201109,58.6
201110,58.7
201111,58.7
201112,58.4
201201,58.4
201202,58.6
201203,58.6
201204,58.8
201205,59.2
201206,59.3
201207,59.3
201208,59.6
201209,59.7
201210,59.8
201211,60.1
201212,60.2
201301,60
201302,59.9
201303,60.3
201304,60.5
201305,60.6
201306,60.9
201307,61.2
201308,60.9
201309,60.8
201310,60.6
201311,60.5
201312,60.6
201401,61.2
201402,61.6
201403,61.7
201404,61.6
201405,61.7
201406,61.7
201407,61.7
201408,61.7
201409,61.9
201410,62.3
201411,62.5
201412,62.7
201501,62.6
201502,62.8
201503,63
201504,62.8
201505,62.4
201506,62.5
201507,62.3
201508,62.3
201509,62.4
201510,62.4
201511,61.9
201512,61.4
201601,61.3
201602,61.2
201603,60.9
201604,61
201605,61.2
201606,61.3
201607,61.4
201608,61.2
201609,61
201610,60.5
201611,61
201612,61.1
201701,61
201702,60.6
201703,60.6
201704,60.5
201705,60.6
201706,60.5
201707,60.8
201708,61
201709,61.1
201710,61.4
201711,61.4
201712,61.7
201801,62.2
201802,62.2
201803,61.9
201804,62
201805,61.8
201806,61.6
201807,61.6
201808,61.5
201809,61.5
201810,61.4
201811,61.4
201812,61.1
201901,60.9
201902,60.4
201903,60.4
201904,60.5
201905,60.3
201906,60.3
201907,59.9
201908,59.9
201909,59.9
201910,59.8
201911,59.7
201912,59.7
202001,59.6
202002,60.2
202003,60.1
202004,59.9
202005,60.4
202006,60.3
202007,60.3
202008,60.5
202009,60.7
202010,61.3
202011,61.1
202012,61.1
202101,61.2
202102,61.1
202103,61.1
202104,61.2
202105,61.2
202106,61.4
202107,61.7
202108,61.6
202109,61.4
202110,60.8
202111,61.1
202112,60.9
202201,61
202202,60.9
202203,61.3
202204,61.2
202205,61
202206,61
202207,60.8
202208,60.9
202209,61.1
202210,61.4
202211,60.7
202212,60.8
202301,60.5
202302,60.2
202303,59.7
202304,59.6
202305,59.5
202306,58.8
202307,59
202308,58.8
202309,58.2
202310,58.3
202311,58.8
202312,59.1
202401,59.3
202402,59.7
202403,60
202404,59.9
202405,60
202406,60.6
202407,60.8
202408,60.9
202409,61.2
202410,61.5
202411,61.1
202412,61.1
202501,61
202502,61.2
202503,61.1
202504,61.2
