#  San Mateo County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55.7
200002,55.9
200003,56.3
200004,56.5
200005,56.9
200006,57.1
200007,57.1
200008,57.2
200009,57.2
200010,56.9
200011,56.6
200012,56.7
200101,56.5
200102,56.3
200103,56.4
200104,56
200105,56.3
200106,56.3
200107,56.5
200108,56.4
200109,56.3
200110,56.5
200111,56.9
200112,56.8
200201,56.7
200202,57
200203,56.8
200204,57
200205,56.5
200206,56.3
200207,56.4
200208,56.4
200209,56.6
200210,56.4
200211,56.5
200212,56.6
200301,57.1
200302,57
200303,57.2
200304,56.9
200305,57
200306,57.2
200307,57.3
200308,57.4
200309,57.5
200310,57.8
200311,57.5
200312,57.5
200401,57
200402,57
200403,57.3
200404,57.7
200405,57.8
200406,57.7
200407,57.7
200408,57.7
200409,57.6
200410,57.3
200411,57.4
200412,57.4
200501,57.4
200502,57.6
200503,57.4
200504,57.1
200505,57.1
200506,57
200507,57.1
200508,57
200509,56.6
200510,56.7
200511,57
200512,57.1
200601,57.2
200602,57.1
200603,56.6
200604,56.6
200605,56.6
200606,56.9
200607,57
200608,56.9
200609,57
200610,57
200611,56.8
200612,56.6
200701,56.3
200702,56.2
200703,56.7
200704,56.8
200705,56.7
200706,56.5
200707,56.2
200708,56.3
200709,56.4
200710,56.3
200711,56.4
200712,56.3
200801,56.3
200802,56.2
200803,56
200804,55.9
200805,55.9
200806,56
200807,56
200808,56
200809,56.2
200810,56.4
200811,56.5
200812,56.5
200901,56.9
200902,56.9
200903,56.9
200904,57
200905,57.1
200906,57.1
200907,57
200908,57
200909,57.1
200910,56.9
200911,56.7
200912,56.7
201001,56.6
201002,56.7
201003,56.8
201004,56.6
201005,56.3
201006,56.2
201007,56.1
201008,56
201009,55.9
201010,55.9
201011,55.9
201012,56.2
201101,56.2
201102,56
201103,56
201104,56.1
201105,56.1
201106,56
201107,56.1
201108,56.1
201109,56.1
201110,56.3
201111,56.2
201112,56
201201,55.9
201202,56.1
201203,56
201204,56.2
201205,56.4
201206,56.5
201207,56.4
201208,56.5
201209,56.2
201210,56.2
201211,56.5
201212,56.6
201301,56.5
201302,56.3
201303,56.6
201304,56.7
201305,56.9
201306,57.1
201307,57.2
201308,57.4
201309,57.6
201310,57.4
201311,57.3
201312,57.2
201401,57.7
201402,58
201403,58.2
201404,58.2
201405,58.3
201406,58.2
201407,58.4
201408,58.5
201409,58.6
201410,59
201411,59.2
201412,59.6
201501,59.6
201502,59.9
201503,60
201504,60
201505,59.6
201506,59.7
201507,59.8
201508,59.9
201509,60
201510,60.1
201511,59.7
201512,59.2
201601,59
201602,58.9
201603,58.7
201604,58.9
201605,59.1
201606,59.1
201607,58.8
201608,58.5
201609,58.2
201610,57.9
201611,58.2
201612,58.2
201701,58
201702,57.7
201703,57.7
201704,57.5
201705,57.5
201706,57.5
201707,57.5
201708,57.7
201709,58.1
201710,58.2
201711,58.2
201712,58.4
201801,58.7
201802,58.7
201803,58.5
201804,58.4
201805,58.3
201806,58.2
201807,58.3
201808,58.2
201809,57.7
201810,57.6
201811,57.6
201812,57.6
201901,57.6
201902,57.3
201903,57.2
201904,57.4
201905,57.4
201906,57.6
201907,57.5
201908,57.8
201909,58.1
201910,58.1
201911,58
201912,58
202001,57.8
202002,58.3
202003,58.3
202004,58.2
202005,58.5
202006,58.4
202007,58.4
202008,58.5
202009,58.6
202010,59
202011,58.9
202012,58.8
202101,58.9
202102,58.7
202103,58.6
202104,58.5
202105,58.3
202106,58.2
202107,58.2
202108,58
202109,57.8
202110,57.3
202111,57.6
202112,57.4
202201,57.4
202202,57.4
202203,57.6
202204,57.6
202205,57.5
202206,57.5
202207,57.4
202208,57.4
202209,57.5
202210,57.5
202211,57
202212,57
202301,56.9
202302,56.5
202303,56.2
202304,56.1
202305,56.1
202306,55.9
202307,56
202308,56.1
202309,55.8
202310,56
202311,56.5
202312,56.9
202401,57.1
202402,57.4
202403,57.8
202404,58
202405,58.1
202406,58.3
202407,58.6
202408,58.5
202409,58.6
202410,58.8
202411,58.6
202412,58.7
202501,58.6
202502,58.6
202503,58.6
202504,58.5
