#  Shasta County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,54.4
200002,54.7
200003,55.1
200004,55.4
200005,55.5
200006,55.9
200007,55.9
200008,56.2
200009,55.8
200010,55.4
200011,54.9
200012,55
200101,54.9
200102,54.6
200103,54.9
200104,54.4
200105,55
200106,54.8
200107,55
200108,55
200109,55.3
200110,55.8
200111,56.1
200112,55.7
200201,55.5
200202,56
200203,55.6
200204,56
200205,55.4
200206,55.5
200207,55.8
200208,55.8
200209,55.8
200210,55.5
200211,55.8
200212,55.9
200301,56.6
200302,56.5
200303,56.7
200304,56
200305,55.9
200306,56.1
200307,56.2
200308,56
200309,56.2
200310,56.5
200311,56
200312,55.9
200401,55.3
200402,55.2
200403,55.6
200404,56.4
200405,56.5
200406,56.3
200407,56.1
200408,56.3
200409,55.9
200410,55.4
200411,55.7
200412,55.9
200501,56.1
200502,56.4
200503,56
200504,55.7
200505,55.5
200506,54.9
200507,55.1
200508,55.2
200509,55
200510,55.1
200511,55.2
200512,55.1
200601,55.1
200602,54.9
200603,54.1
200604,54
200605,54.3
200606,55.1
200607,55.1
200608,54.9
200609,55.2
200610,55.2
200611,55
200612,54.9
200701,54.9
200702,54.8
200703,55.8
200704,56.1
200705,56.1
200706,55.9
200707,55.6
200708,55.7
200709,55.4
200710,55.1
200711,55.5
200712,55.3
200801,55
200802,55
200803,54.6
200804,54.3
200805,54.2
200806,54.2
200807,54.3
200808,54.4
200809,54.9
200810,55.3
200811,55.3
200812,55.3
200901,55.9
200902,55.9
200903,55.8
200904,56
200905,56.2
200906,56
200907,56.1
200908,55.9
200909,56
200910,55.7
200911,55.4
200912,55.4
201001,55.2
201002,55.3
201003,55.3
201004,54.9
201005,54
201006,54
201007,54
201008,53.9
201009,53.6
201010,53.8
201011,53.7
201012,53.9
201101,54
201102,53.8
201103,53.6
201104,53.7
201105,53.8
201106,53.6
201107,53.3
201108,53.4
201109,53.8
201110,53.8
201111,53.7
201112,53.8
201201,53.8
201202,54
201203,54
201204,54.3
201205,54.8
201206,55
201207,55
201208,55.3
201209,55.3
201210,55.4
201211,55.7
201212,55.3
201301,55.1
201302,55.1
201303,55.7
201304,56
201305,56
201306,56.4
201307,56.8
201308,56.5
201309,56
201310,55.8
201311,55.9
201312,56.2
201401,56.8
201402,56.9
201403,56.8
201404,56.7
201405,56.8
201406,56.9
201407,56.9
201408,57.1
201409,57.4
201410,57.7
201411,57.7
201412,57.9
201501,57.9
201502,58.4
201503,58.8
201504,58.8
201505,58.7
201506,59.1
201507,58.8
201508,58.8
201509,58.7
201510,58.9
201511,58.5
201512,58
201601,57.4
201602,57.2
201603,56.7
201604,56.9
201605,56.9
201606,56.5
201607,56.4
201608,56.6
201609,56.6
201610,56
201611,56.3
201612,56.3
201701,56.1
201702,55.7
201703,55.7
201704,55.2
201705,55.4
201706,55.5
201707,55.7
201708,55.9
201709,56
201710,56.2
201711,56.2
201712,56.6
201801,57.2
201802,57.2
201803,56.8
201804,57
201805,57
201806,57
201807,57
201808,56.6
201809,56.5
201810,56.6
201811,56.8
201812,56.6
201901,56.5
201902,55.9
201903,56
201904,56.2
201905,55.9
201906,55.9
201907,55.5
201908,55.6
201909,55.4
201910,55.1
201911,55.3
201912,55.3
202001,55.1
202002,55.9
202003,55.9
202004,55.9
202005,56.1
202006,56
202007,56.2
202008,56.4
202009,56.9
202010,57.7
202011,57.3
202012,57.4
202101,57.4
202102,57.1
202103,57.2
202104,57.2
202105,57.5
202106,58
202107,58.3
202108,58.2
202109,58
202110,57.2
202111,57.5
202112,57.2
202201,57.4
202202,57.6
202203,58.1
202204,57.7
202205,57.3
202206,56.8
202207,56.5
202208,56.7
202209,56.8
202210,57.5
202211,57
202212,56.9
202301,56.6
202302,56.1
202303,55.1
202304,55.2
202305,55.4
202306,55.3
202307,55.4
202308,55.2
202309,54.7
202310,54.4
202311,54.8
202312,55.3
202401,55.5
202402,55.7
202403,56.2
202404,56.3
202405,56.4
202406,56.8
202407,57.1
202408,56.9
202409,57.3
202410,57.5
202411,57.1
202412,57
202501,57.1
202502,57.1
202503,57.1
202504,57.2
