#  Siskiyou County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,48.3
200002,48.7
200003,48.9
200004,49.3
200005,49.4
200006,49.9
200007,49.8
200008,50.1
200009,49.7
200010,49.4
200011,48.8
200012,48.9
200101,49
200102,48.7
200103,48.9
200104,48.4
200105,49
200106,48.7
200107,48.8
200108,48.9
200109,49.2
200110,49.6
200111,49.9
200112,49.6
200201,49.4
200202,49.8
200203,49.4
200204,49.8
200205,49.2
200206,49.4
200207,49.8
200208,49.6
200209,49.5
200210,49.3
200211,49.5
200212,49.7
200301,50.4
200302,50.2
200303,50.4
200304,49.8
200305,49.9
200306,50.1
200307,50.1
200308,50.1
200309,50.3
200310,50.6
200311,50.1
200312,50
200401,49.5
200402,49.4
200403,49.8
200404,50.5
200405,50.5
200406,50.3
200407,50.1
200408,50.2
200409,49.8
200410,49.4
200411,49.6
200412,49.8
200501,49.9
200502,50.1
200503,49.9
200504,49.5
200505,49.4
200506,48.9
200507,49
200508,49.1
200509,49
200510,49.1
200511,49.1
200512,49
200601,49
200602,48.8
200603,48.1
200604,48.1
200605,48.4
200606,49.1
200607,49.1
200608,48.9
200609,49.1
200610,49.1
200611,49.1
200612,49.1
200701,49
200702,48.9
200703,49.8
200704,49.9
200705,50
200706,49.7
200707,49.5
200708,49.6
200709,49.3
200710,49
200711,49.2
200712,49
200801,48.7
200802,48.7
200803,48.2
200804,47.8
200805,47.6
200806,47.6
200807,47.6
200808,47.6
200809,48.1
200810,48.5
200811,48.6
200812,48.7
200901,49.2
200902,49.2
200903,49.3
200904,49.5
200905,49.7
200906,49.7
200907,49.9
200908,49.8
200909,49.8
200910,49.5
200911,49.2
200912,49.1
201001,49.2
201002,49.3
201003,49.4
201004,49
201005,48.2
201006,48.1
201007,48
201008,47.9
201009,47.7
201010,48
201011,47.9
201012,48.2
201101,48.1
201102,47.8
201103,47.7
201104,47.7
201105,47.8
201106,47.7
201107,47.3
201108,47.4
201109,47.7
201110,47.6
201111,47.7
201112,47.6
201201,47.5
201202,47.6
201203,47.6
201204,47.9
201205,48.5
201206,48.5
201207,48.6
201208,48.9
201209,49
201210,49.2
201211,49.5
201212,49.3
201301,49.1
201302,49.2
201303,49.7
201304,49.8
201305,49.9
201306,50.4
201307,50.8
201308,50.5
201309,49.9
201310,49.6
201311,49.7
201312,49.8
201401,50.3
201402,50.5
201403,50.4
201404,50.5
201405,50.6
201406,50.5
201407,50.6
201408,50.8
201409,51.1
201410,51.5
201411,51.5
201412,51.8
201501,52
201502,52.4
201503,52.7
201504,52.6
201505,52.6
201506,53.1
201507,52.8
201508,52.7
201509,52.5
201510,52.8
201511,52.4
201512,51.9
201601,51.4
201602,51.2
201603,50.8
201604,51.1
201605,51.1
201606,50.6
201607,50.5
201608,50.6
201609,50.6
201610,49.8
201611,50.2
201612,50.1
201701,49.8
201702,49.4
201703,49.5
201704,48.9
201705,48.9
201706,49
201707,49.3
201708,49.4
201709,49.5
201710,49.8
201711,49.6
201712,50
201801,50.6
201802,50.6
201803,50.3
201804,50.5
201805,50.5
201806,50.4
201807,50.5
201808,50.2
201809,50.1
201810,50.3
201811,50.5
201812,50.3
201901,50.2
201902,49.8
201903,49.8
201904,50
201905,49.7
201906,49.8
201907,49.4
201908,49.4
201909,49.1
201910,48.7
201911,48.9
201912,49
202001,48.8
202002,49.5
202003,49.5
202004,49.6
202005,49.7
202006,49.5
202007,49.7
202008,49.8
202009,50.5
202010,51.2
202011,50.9
202012,50.9
202101,50.9
202102,50.6
202103,50.6
202104,50.6
202105,50.8
202106,51.3
202107,51.7
202108,51.7
202109,51.4
202110,50.8
202111,51
202112,50.9
202201,51.2
202202,51.5
202203,51.8
202204,51.3
202205,50.9
202206,50.3
202207,50.1
202208,50.3
202209,50.5
202210,51.2
202211,50.6
202212,50.6
202301,50.1
202302,49.7
202303,48.8
202304,49
202305,49.4
202306,49.5
202307,49.5
202308,49.3
202309,48.8
202310,48.4
202311,48.9
202312,49.3
202401,49.6
202402,49.8
202403,50.3
202404,50.5
202405,50.3
202406,50.5
202407,50.8
202408,50.6
202409,51
202410,51.1
202411,50.7
202412,50.7
202501,50.7
202502,50.4
202503,50.5
202504,50.7
