#  Solano County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,60.3
200002,60.5
200003,60.8
200004,61.1
200005,61.4
200006,61.7
200007,61.6
200008,61.7
200009,61.7
200010,61.3
200011,60.8
200012,60.8
200101,60.5
200102,60.3
200103,60.5
200104,60.2
200105,60.6
200106,60.7
200107,60.9
200108,60.9
200109,60.8
200110,61.2
200111,61.7
200112,61.7
200201,61.6
200202,61.8
200203,61.5
200204,61.7
200205,61
200206,60.9
200207,61
200208,61
200209,61.1
200210,60.9
200211,60.8
200212,60.9
200301,61.3
200302,61.2
200303,61.5
200304,61.1
200305,61.2
200306,61.2
200307,61.4
200308,61.5
200309,61.6
200310,61.9
200311,61.6
200312,61.5
200401,61.2
200402,61.1
200403,61.5
200404,62.1
200405,62.2
200406,62.2
200407,61.9
200408,62
200409,61.9
200410,61.5
200411,61.6
200412,61.5
200501,61.4
200502,61.6
200503,61.2
200504,60.9
200505,60.8
200506,60.5
200507,60.8
200508,60.8
200509,60.4
200510,60.5
200511,60.8
200512,61
200601,61.3
200602,61.3
200603,60.7
200604,60.6
200605,60.7
200606,61.2
200607,61.3
200608,61.1
200609,61.3
200610,61.1
200611,61
200612,60.7
200701,60.5
200702,60.4
200703,61.1
200704,61.4
200705,61.3
200706,61.1
200707,60.8
200708,61
200709,60.9
200710,60.8
200711,61
200712,60.9
200801,60.9
200802,60.8
200803,60.6
200804,60.4
200805,60.4
200806,60.5
200807,60.6
200808,60.7
200809,60.9
200810,61.2
200811,61.2
200812,61.1
200901,61.4
200902,61.4
200903,61.3
200904,61.4
200905,61.4
200906,61.2
200907,61.2
200908,61.1
200909,61.2
200910,61
200911,60.8
200912,60.9
201001,60.8
201002,60.9
201003,60.9
201004,60.6
201005,60.1
201006,60.2
201007,60.1
201008,59.8
201009,59.6
201010,59.7
201011,59.7
201012,60
201101,59.9
201102,59.7
201103,59.6
201104,59.8
201105,59.8
201106,59.5
201107,59.6
201108,59.7
201109,59.8
201110,59.9
201111,59.7
201112,59.5
201201,59.7
201202,59.9
201203,59.9
201204,60
201205,60.4
201206,60.6
201207,60.6
201208,60.8
201209,60.6
201210,60.7
201211,61
201212,61.1
201301,60.8
201302,60.7
201303,61
201304,61.4
201305,61.5
201306,61.7
201307,61.8
201308,61.7
201309,61.8
201310,61.6
201311,61.6
201312,61.5
201401,62.1
201402,62.4
201403,62.5
201404,62.4
201405,62.4
201406,62.4
201407,62.5
201408,62.5
201409,62.6
201410,63
201411,63
201412,63.5
201501,63.3
201502,63.6
201503,63.7
201504,63.7
201505,63.3
201506,63.4
201507,63.3
201508,63.4
201509,63.5
201510,63.6
201511,63.3
201512,62.8
201601,62.8
201602,62.7
201603,62.4
201604,62.5
201605,62.7
201606,62.7
201607,62.6
201608,62.4
201609,62.2
201610,61.7
201611,62
201612,61.9
201701,61.6
201702,61.4
201703,61.4
201704,61.2
201705,61.2
201706,61.1
201707,61.3
201708,61.6
201709,61.8
201710,62
201711,61.9
201712,62.2
201801,62.5
201802,62.5
201803,62.2
201804,62.2
201805,62
201806,61.9
201807,61.9
201808,61.7
201809,61.4
201810,61.5
201811,61.6
201812,61.6
201901,61.7
201902,61.3
201903,61.4
201904,61.6
201905,61.4
201906,61.5
201907,61.4
201908,61.7
201909,61.8
201910,61.6
201911,61.6
201912,61.7
202001,61.5
202002,62.2
202003,62.1
202004,62
202005,62.4
202006,62.4
202007,62.4
202008,62.6
202009,62.8
202010,63.4
202011,63.2
202012,63.2
202101,63.3
202102,63.1
202103,63.2
202104,63.2
202105,63.2
202106,63.1
202107,63.3
202108,63
202109,62.8
202110,62.2
202111,62.2
202112,62
202201,62
202202,61.9
202203,62.2
202204,62.1
202205,62
202206,62.1
202207,61.9
202208,62
202209,62.2
202210,62.6
202211,62.2
202212,62.2
202301,62.1
202302,61.7
202303,61.1
202304,61
202305,60.7
202306,60.2
202307,60.3
202308,60.4
202309,59.9
202310,59.8
202311,60.3
202312,60.7
202401,60.9
202402,61.1
202403,61.5
202404,61.6
202405,61.9
202406,62.4
202407,62.8
202408,62.7
202409,62.9
202410,63.2
202411,62.9
202412,62.9
202501,62.8
202502,62.8
202503,62.7
202504,62.8
