#  Stanislaus County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,60.7
200002,60.9
200003,61.2
200004,61.6
200005,61.8
200006,62.2
200007,62.2
200008,62.3
200009,62.2
200010,61.8
200011,61.3
200012,61.3
200101,60.9
200102,60.7
200103,60.9
200104,60.4
200105,60.9
200106,60.9
200107,61.1
200108,61.1
200109,61.2
200110,61.5
200111,62.1
200112,62.1
200201,62.1
200202,62.3
200203,62
200204,62.3
200205,61.7
200206,61.5
200207,61.7
200208,61.6
200209,61.7
200210,61.4
200211,61.3
200212,61.4
200301,61.8
200302,61.7
200303,61.9
200304,61.5
200305,61.5
200306,61.5
200307,61.8
200308,61.9
200309,61.9
200310,62.3
200311,62
200312,62
200401,61.7
200402,61.7
200403,62
200404,62.7
200405,62.8
200406,62.7
200407,62.4
200408,62.4
200409,62.2
200410,61.8
200411,61.8
200412,61.6
200501,61.6
200502,61.9
200503,61.5
200504,61.1
200505,61.1
200506,60.8
200507,61.1
200508,61.3
200509,61.1
200510,61.2
200511,61.6
200512,61.9
200601,62
200602,61.9
200603,61.4
200604,61.4
200605,61.6
200606,62
200607,62.1
200608,61.8
200609,62
200610,61.8
200611,61.6
200612,61.3
200701,61
200702,60.9
200703,61.7
200704,62
200705,61.9
200706,61.7
200707,61.3
200708,61.5
200709,61.4
200710,61.4
200711,61.6
200712,61.5
200801,61.6
200802,61.6
200803,61.2
200804,61
200805,61
200806,61.1
200807,61.1
200808,61.1
200809,61.5
200810,61.7
200811,61.7
200812,61.6
200901,61.9
200902,61.9
200903,61.8
200904,61.9
200905,62.1
200906,61.9
200907,62
200908,61.9
200909,62
200910,61.8
200911,61.5
200912,61.6
201001,61.6
201002,61.7
201003,61.7
201004,61.3
201005,60.6
201006,60.7
201007,60.5
201008,60.3
201009,60
201010,60.2
201011,60.1
201012,60.4
201101,60.3
201102,59.9
201103,59.9
201104,60.2
201105,60.2
201106,59.9
201107,59.9
201108,60.1
201109,60.3
201110,60.4
201111,60.3
201112,59.9
201201,60.1
201202,60.4
201203,60.4
201204,60.5
201205,61
201206,61.2
201207,61.2
201208,61.4
201209,61.4
201210,61.4
201211,61.8
201212,61.9
201301,61.7
201302,61.5
201303,61.9
201304,62.2
201305,62.3
201306,62.5
201307,62.8
201308,62.5
201309,62.2
201310,62
201311,62
201312,61.9
201401,62.5
201402,62.9
201403,62.9
201404,62.8
201405,62.8
201406,62.8
201407,62.8
201408,62.9
201409,63.2
201410,63.5
201411,63.6
201412,64
201501,63.7
201502,63.9
201503,64.2
201504,64.1
201505,63.8
201506,64
201507,63.8
201508,63.8
201509,63.8
201510,63.9
201511,63.6
201512,63.1
201601,63.2
201602,63.1
201603,62.7
201604,62.8
201605,63.1
201606,63.1
201607,63.1
201608,63.2
201609,63
201610,62.6
201611,63.1
201612,63.2
201701,63
201702,62.7
201703,62.8
201704,62.6
201705,62.6
201706,62.6
201707,62.8
201708,63
201709,63.1
201710,63.2
201711,63.2
201712,63.4
201801,63.7
201802,63.7
201803,63.4
201804,63.5
201805,63.4
201806,63.2
201807,63.3
201808,63
201809,62.9
201810,63
201811,62.9
201812,62.9
201901,62.8
201902,62.5
201903,62.5
201904,62.7
201905,62.5
201906,62.6
201907,62.3
201908,62.5
201909,62.5
201910,62.3
201911,62.3
201912,62.3
202001,62.2
202002,62.7
202003,62.6
202004,62.3
202005,62.8
202006,62.7
202007,62.7
202008,62.8
202009,63.1
202010,63.5
202011,63.3
202012,63.1
202101,63.1
202102,63
202103,63
202104,63.2
202105,63.2
202106,63.3
202107,63.5
202108,63.4
202109,63.3
202110,62.8
202111,63
202112,63
202201,63
202202,62.9
202203,63.3
202204,63.1
202205,62.9
202206,62.9
202207,62.7
202208,62.8
202209,62.9
202210,63.2
202211,62.7
202212,62.7
202301,62.6
202302,62.3
202303,61.6
202304,61.6
202305,61.4
202306,61
202307,61.2
202308,61.1
202309,60.6
202310,60.5
202311,61
202312,61.4
202401,61.6
202402,62
202403,62.3
202404,62.3
202405,62.5
202406,63
202407,63.3
202408,63.3
202409,63.6
202410,63.9
202411,63.7
202412,63.6
202501,63.4
202502,63.4
202503,63.4
202504,63.5
