#  Yuba County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,59.9
200002,60.2
200003,60.5
200004,60.9
200005,61
200006,61.4
200007,61.3
200008,61.5
200009,61.2
200010,60.7
200011,60.2
200012,60.2
200101,60.1
200102,59.8
200103,60.1
200104,59.6
200105,60.3
200106,60.2
200107,60.4
200108,60.5
200109,60.6
200110,61.1
200111,61.7
200112,61.5
200201,61.3
200202,61.7
200203,61.3
200204,61.6
200205,60.9
200206,60.9
200207,61.1
200208,61
200209,61
200210,60.7
200211,60.8
200212,60.9
200301,61.5
200302,61.3
200303,61.5
200304,60.9
200305,60.9
200306,60.9
200307,61
200308,61
200309,61.1
200310,61.5
200311,60.9
200312,60.9
200401,60.4
200402,60.4
200403,60.9
200404,61.7
200405,61.8
200406,61.8
200407,61.5
200408,61.7
200409,61.5
200410,60.9
200411,61.1
200412,61.1
200501,61.2
200502,61.5
200503,61
200504,60.5
200505,60.4
200506,59.8
200507,60.1
200508,60.2
200509,60
200510,60.1
200511,60.5
200512,60.5
200601,60.7
200602,60.6
200603,59.9
200604,59.9
200605,60.3
200606,61
200607,61
200608,60.8
200609,61.1
200610,61
200611,60.7
200612,60.6
200701,60.4
200702,60.3
200703,61.2
200704,61.5
200705,61.5
200706,61.2
200707,60.9
200708,61
200709,60.7
200710,60.6
200711,60.9
200712,60.7
200801,60.5
200802,60.4
200803,60.1
200804,59.9
200805,59.8
200806,59.9
200807,60
200808,60.1
200809,60.6
200810,61
200811,60.9
200812,60.9
200901,61.4
200902,61.4
200903,61.3
200904,61.3
200905,61.5
200906,61.3
200907,61.3
200908,61.1
200909,61.3
200910,60.9
200911,60.7
200912,60.8
201001,60.6
201002,60.7
201003,60.7
201004,60.4
201005,59.5
201006,59.6
201007,59.5
201008,59.3
201009,59.1
201010,59.3
201011,59.2
201012,59.5
201101,59.5
201102,59.2
201103,59
201104,59.2
201105,59.3
201106,59
201107,58.8
201108,58.9
201109,59.2
201110,59.1
201111,59.1
201112,59.1
201201,59.2
201202,59.4
201203,59.5
201204,59.7
201205,60.3
201206,60.5
201207,60.7
201208,60.9
201209,60.9
201210,61
201211,61.3
201212,61.1
201301,60.9
201302,60.8
201303,61.3
201304,61.7
201305,61.7
201306,61.9
201307,62.2
201308,61.9
201309,61.5
201310,61.3
201311,61.4
201312,61.5
201401,62.2
201402,62.4
201403,62.5
201404,62.4
201405,62.4
201406,62.5
201407,62.6
201408,62.7
201409,63
201410,63.3
201411,63.2
201412,63.4
201501,63.2
201502,63.6
201503,63.8
201504,63.8
201505,63.5
201506,63.8
201507,63.6
201508,63.6
201509,63.6
201510,63.8
201511,63.4
201512,63
201601,62.6
201602,62.5
201603,62
201604,62.2
201605,62.3
201606,62.1
201607,62.1
201608,62.1
201609,62
201610,61.3
201611,61.7
201612,61.7
201701,61.5
201702,61.1
201703,61.2
201704,60.8
201705,60.9
201706,61
201707,61.2
201708,61.5
201709,61.5
201710,61.9
201711,61.9
201712,62.3
201801,62.7
201802,62.8
201803,62.4
201804,62.6
201805,62.4
201806,62.4
201807,62.4
201808,62.1
201809,62
201810,62.1
201811,62.2
201812,62
201901,61.9
201902,61.4
201903,61.4
201904,61.7
201905,61.3
201906,61.4
201907,61.1
201908,61.2
201909,61
201910,60.8
201911,60.8
201912,60.9
202001,60.8
202002,61.6
202003,61.6
202004,61.4
202005,61.8
202006,61.7
202007,61.8
202008,62
202009,62.6
202010,63.2
202011,63
202012,63
202101,63
202102,62.8
202103,62.8
202104,63
202105,63.1
202106,63.4
202107,63.7
202108,63.6
202109,63.5
202110,62.7
202111,62.9
202112,62.6
202201,62.7
202202,62.9
202203,63.3
202204,63
202205,62.7
202206,62.5
202207,62.2
202208,62.3
202209,62.4
202210,63
202211,62.5
202212,62.5
202301,62.2
202302,61.7
202303,60.9
202304,60.9
202305,60.9
202306,60.6
202307,60.7
202308,60.5
202309,59.9
202310,59.7
202311,60.1
202312,60.6
202401,60.8
202402,61
202403,61.5
202404,61.5
202405,61.7
202406,62.3
202407,62.6
202408,62.5
202409,62.9
202410,63.3
202411,62.9
202412,62.9
202501,63
202502,63
202503,63
202504,63.1
